Date,Index Code,Index Name(Eng.),Constituent Code,Constituent Name(Eng.),Exchange,Weight(%),Trading Currency
2014-12-01,000300,CSI 300,000001,"Ping An Bank Co., Ltd.",Shenzhen,1.07,CNY
2014-12-01,000300,CSI 300,000002,China Vanke Co Ltd,Shenzhen,1.58,CNY
2014-12-01,000300,CSI 300,000009,"China Baoan Group Co.,Ltd.",Shenzhen,0.30,CNY
2014-12-01,000300,CSI 300,000012,CSG Holding Co Ltd,Shenzhen,0.17,CNY
2014-12-01,000300,CSI 300,000024,China Merchants Property Development Co Ltd,Shenzhen,0.27,CNY
2014-12-01,000300,CSI 300,000027,Shenzhen Energy Group Co Ltd,Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,000039,China International Marine Containers (Group) Co Ltd,Shenzhen,0.23,CNY
2014-12-01,000300,CSI 300,000060,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,Shenzhen,0.18,CNY
2014-12-01,000300,CSI 300,000061,Shenzhen Agricultural Products Co Ltd,Shenzhen,0.24,CNY
2014-12-01,000300,CSI 300,000063,ZTE Corporation,Shenzhen,0.47,CNY
2014-12-01,000300,CSI 300,000069,Shenzhen Overseas Chinese Town Co Ltd,Shenzhen,0.35,CNY
2014-12-01,000300,CSI 300,000100,TCL Corporation,Shenzhen,0.39,CNY
2014-12-01,000300,CSI 300,000156,"WASU MEDIA HOLDING CO., LTD",Shenzhen,0.03,CNY
2014-12-01,000300,CSI 300,000157,Zoomlion Heavy Industry Science & Technology Co Ltd,Shenzhen,0.35,CNY
2014-12-01,000300,CSI 300,000333,"Midea Group CO., LTD",Shenzhen,0.60,CNY
2014-12-01,000300,CSI 300,000338,Wei Chai Power Co Ltd,Shenzhen,0.36,CNY
2014-12-01,000300,CSI 300,000400,XJ Electric Co Ltd,Shenzhen,0.18,CNY
2014-12-01,000300,CSI 300,000401,Tangshan Jidong Cement Co Ltd,Shenzhen,0.09,CNY
2014-12-01,000300,CSI 300,000402,Financial Street Holding Co Ltd,Shenzhen,0.28,CNY
2014-12-01,000300,CSI 300,000413,"Dongxu Optoelectronic Technology Co., Ltd.",Shenzhen,0.09,CNY
2014-12-01,000300,CSI 300,000423,Shandong Dong-Ee Jiao Co Ltd,Shenzhen,0.29,CNY
2014-12-01,000300,CSI 300,000425,XCMG Construction Machinery Co Ltd,Shenzhen,0.20,CNY
2014-12-01,000300,CSI 300,000503,Searainbow Holding Corp,Shenzhen,0.32,CNY
2014-12-01,000300,CSI 300,000536,CPT Technology (Group) Co Ltd,Shenzhen,0.09,CNY
2014-12-01,000300,CSI 300,000538,"Yunnan Baiyao Group Co., Ltd.",Shenzhen,0.46,CNY
2014-12-01,000300,CSI 300,000562,Hong Yuan Securities Co Ltd,Shenzhen,0.42,CNY
2014-12-01,000300,CSI 300,000568,Luzhou Lao Jiao Co Ltd,Shenzhen,0.20,CNY
2014-12-01,000300,CSI 300,000581,Weifu High-Technology Group Co Ltd,Shenzhen,0.24,CNY
2014-12-01,000300,CSI 300,000598,Chengdu Xingrong Investment Co Ltd,Shenzhen,0.17,CNY
2014-12-01,000300,CSI 300,000623,"Jilin Aodong Pharmaceutical Group Co., Ltd.",Shenzhen,0.32,CNY
2014-12-01,000300,CSI 300,000625,Chongqing Changan Automobile Co Ltd,Shenzhen,0.43,CNY
2014-12-01,000300,CSI 300,000629,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",Shenzhen,0.21,CNY
2014-12-01,000300,CSI 300,000630,Tongling Nonferrous Metals Group Co. Ltd,Shenzhen,0.14,CNY
2014-12-01,000300,CSI 300,000651,"Gree Electric Appliances,Inc. of Zhuhai",Shenzhen,1.17,CNY
2014-12-01,000300,CSI 300,000656,"Jinke Property Group Co.,Ltd.",Shenzhen,0.10,CNY
2014-12-01,000300,CSI 300,000686,Northeast Securities Co Ltd,Shenzhen,0.22,CNY
2014-12-01,000300,CSI 300,000709,"Hebei Iron & Steel Co., Ltd",Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,000718,Suning Universal Co Ltd,Shenzhen,0.07,CNY
2014-12-01,000300,CSI 300,000725,BOE Technology Group Co Ltd,Shenzhen,0.43,CNY
2014-12-01,000300,CSI 300,000728,Guoyuan Securities Company Limited,Shenzhen,0.32,CNY
2014-12-01,000300,CSI 300,000729,Beijing Yanjing Brewery Co Ltd,Shenzhen,0.16,CNY
2014-12-01,000300,CSI 300,000750,"Sealand Securities Co., Ltd.",Shenzhen,0.16,CNY
2014-12-01,000300,CSI 300,000758,China Nonferrous Metal Industry's Foreign Engineering & Construction Corp,Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,000768,"Avic Aircraft Co.,Ltd.",Shenzhen,0.30,CNY
2014-12-01,000300,CSI 300,000776,"GF Securities Co., Ltd.",Shenzhen,0.83,CNY
2014-12-01,000300,CSI 300,000778,Xinxing Ductile Iron Pipes Co Ltd,Shenzhen,0.17,CNY
2014-12-01,000300,CSI 300,000783,Changjiang Securities Company Limited,Shenzhen,0.50,CNY
2014-12-01,000300,CSI 300,000792,Qinghai Salt Lake Industry Co Ltd,Shenzhen,0.21,CNY
2014-12-01,000300,CSI 300,000793,Huawen Media Investment Corp,Shenzhen,0.21,CNY
2014-12-01,000300,CSI 300,000800,FAW Car Co Ltd,Shenzhen,0.15,CNY
2014-12-01,000300,CSI 300,000826,Sound Environmental Resources Co Ltd,Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,000831,"China Minmetals Rare Earth Co., Ltd.",Shenzhen,0.22,CNY
2014-12-01,000300,CSI 300,000839,CITIC Guoan Information Industry Co Ltd,Shenzhen,0.14,CNY
2014-12-01,000300,CSI 300,000858,Wuliangye Yibin Co Ltd,Shenzhen,0.55,CNY
2014-12-01,000300,CSI 300,000869,Yantai Changyu Pioneer Wine Co Ltd,Shenzhen,0.06,CNY
2014-12-01,000300,CSI 300,000876,"NEW HOPE LIUHE CO., LTD",Shenzhen,0.14,CNY
2014-12-01,000300,CSI 300,000878,Yunnan Copper Co Ltd,Shenzhen,0.13,CNY
2014-12-01,000300,CSI 300,000883,Hubei Energy Group Co Ltd,Shenzhen,0.21,CNY
2014-12-01,000300,CSI 300,000895,Henan Shuanghui Investment & Development Co Ltd,Shenzhen,0.30,CNY
2014-12-01,000300,CSI 300,000917,Hunan TV & Broadcast Intermediary Co Ltd,Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,000937,Jizhong Energy Resources Co Ltd,Shenzhen,0.10,CNY
