var hq_str_sz000001="平安银行,15.41,15.36,14.89,15.55,14.60,14.88,14.89,247025090,3714889569.29,747300,14.88,620094,14.87,231500,14.86,747816,14.85,109200,14.84,616418,14.89,281360,14.90,175110,14.91,143200,14.92,137900,14.93,2014-12-18,15:05:53,00";
var hq_str_sz000002="万  科Ａ,12.01,11.93,11.62,12.28,11.55,11.62,11.63,241689311,2874781752.71,829132,11.62,265291,11.61,566000,11.60,258700,11.59,796227,11.58,688700,11.63,232342,11.64,586576,11.65,53800,11.66,37100,11.67,2014-12-18,15:05:53,00";
var hq_str_sz000009="中国宝安,13.84,13.84,13.84,14.15,13.80,13.84,13.85,33488491,467991512.60,66720,13.84,100848,13.83,132500,13.82,607800,13.81,353100,13.80,36300,13.85,58791,13.86,58300,13.87,35099,13.88,645900,13.89,2014-12-18,15:05:53,00";
var hq_str_sz000024="招商地产,21.92,21.14,21.22,22.54,21.00,21.21,21.22,94973037,2064627988.52,153975,21.21,17100,21.20,2200,21.19,39379,21.18,64700,21.17,48328,21.22,5000,21.23,40100,21.24,68600,21.25,14481,21.26,2014-12-18,15:05:53,00";
var hq_str_sz000027="深圳能源,11.88,11.86,11.64,11.90,11.62,11.63,11.64,31890810,373591900.06,80977,11.63,115674,11.62,116200,11.61,398100,11.60,34600,11.59,38681,11.64,145763,11.65,81480,11.66,22300,11.67,126000,11.68,2014-12-18,15:05:53,00";
var hq_str_sz000039="中集集团,23.65,23.30,22.71,23.90,22.57,22.71,22.72,43665137,1005686812.91,88144,22.71,173300,22.70,153863,22.69,158400,22.68,27600,22.67,14100,22.72,3900,22.73,3900,22.74,15043,22.75,17300,22.76,2014-12-18,15:05:53,00";
var hq_str_sz000060="中金岭南,9.70,9.71,9.77,10.14,9.62,9.77,9.78,55498165,551586075.73,234131,9.77,10400,9.76,69500,9.75,149447,9.74,120324,9.73,73950,9.78,67500,9.79,105050,9.80,114200,9.81,210917,9.82,2014-12-18,15:05:53,00";
var hq_str_sz000061="农 产 品,11.67,11.66,12.37,12.43,11.67,12.36,12.37,53536940,644361357.54,827900,12.36,143492,12.35,43300,12.34,127900,12.33,106200,12.32,182540,12.37,635783,12.38,163600,12.39,704340,12.40,59700,12.41,2014-12-18,15:05:53,00";
var hq_str_sz000063="中兴通讯,19.19,19.10,18.81,19.37,18.68,18.81,18.82,187049761,3550734367.67,273372,18.81,653300,18.80,195767,18.79,177566,18.78,223600,18.77,5620,18.82,34700,18.83,869568,18.84,26900,18.85,7100,18.86,2014-12-18,15:05:53,00";
var hq_str_sz000069="华侨城Ａ,6.98,6.98,6.86,7.17,6.81,6.86,6.87,122494399,851914389.02,87363,6.86,181739,6.85,84400,6.84,336309,6.83,280900,6.82,101910,6.87,408158,6.88,436699,6.89,352932,6.90,86200,6.91,2014-12-18,15:05:53,00";
